pid	mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	egauss	mu	sigma	h	f	dppm	scale	scpos	scmin	scmax	lmin	lmax	sample	is_filled	comp	cls	cid
208	548.400024414062	548.400024414062	548.400024414062	3768.99	3756.471	3795.595	399798.766239998	371235.69514082	23000	14	NA	NA	NA	NA	4648	0	10	811	801	821	78	103	1	0	59	57	59
209	348.200012207031	348.200012207031	348.200012207031	3418.441	3391.837	3435.655	397800.148071431	384424.804534564	21528	16	NA	NA	NA	NA	3241	0	10	587	577	597	68	96	1	0	38	37	38
210	521.200012207031	521.200012207031	521.200012207031	3189.958	3160.223	3222.822	396937.129050001	373438.608085578	14993	22	NA	NA	NA	NA	2577	0	10	441	431	451	70	110	1	0	43	42	43
211	314	314	314	2783.07	2753.336	2809.674	388686.816611112	373968.192547185	16720	18	NA	NA	NA	NA	904	0	10	181	171	191	70	106	1	0	36	8	36
212	560.200012207031	560.200012207031	560.200012207031	3635.969	3604.67	3668.833	381941.994634146	348559.591416973	15818	17	NA	NA	NA	NA	4217	0	10	726	716	736	70	111	1	0	57	55	57
214	444	444	444	2679.783	2643.789	2714.212	377841.304377777	353206.867347335	12939	12	NA	NA	NA	NA	569	0	10	115	105	125	62	107	1	0	5	5	5
215	568.299987792969	568.299987792969	568.299987792969	3604.67	3579.631	3629.71	376864.819593751	352077.9655762	17304	22	NA	NA	NA	NA	4023	0	10	706	696	716	70	102	1	0	56	54	56
217	390.200012207031	390.200012207031	390.200012207031	3343.323	3326.109	3379.317	375632.830588236	348905.393173248	14020	16	NA	NA	NA	NA	3001	0	10	539	529	549	78	112	1	0	4	4	4
218	311.100006103516	311.100006103516	311.100006103516	3066.326	3035.027	3107.015	372492.516260869	317709.658979749	11125	13	NA	NA	NA	NA	2153	0	10	362	352	372	73	119	1	0	32	32	32
219	572.200012207031	572.200012207031	572.200012207031	3376.187	3352.713	3407.486	365628.554314284	345265.349324833	15641	17	NA	NA	NA	NA	3108	0	10	560	550	570	74	109	1	0	63	61	63
221	355.200012207031	355.200012207031	355.200012207031	3612.495	3592.151	3637.534	349267.568000002	316833.364752009	18080	12	NA	NA	NA	NA	3972	0	10	711	701	721	73	102	1	0	42	41	42
224	357.200012207031	357.200012207031	357.200012207031	3819.069	3787.77	3844.108	332520.960500001	321766.117949276	14877	32	NA	NA	NA	NA	4728	0	10	843	833	853	70	106	1	0	41	40	41
225	362.100006103516	362.100006103516	362.100006103516	3157.094	3127.359	3191.523	328906.228975611	301730.015676509	13399	14	NA	NA	NA	NA	2375	0	10	420	410	430	70	111	1	0	7	7	7
227	308.100006103516	308.100006103516	308.100006103516	3254.121	3218.127	3288.55	324524.833555557	287578.837575191	15800	14	NA	NA	NA	NA	2779	0	12	482	470	494	60	105	1	0	40	39	40
228	329.100006103516	329.100006103516	329.100006103516	3493.559	3470.084	3515.468	322251.439448276	312775.948404346	21056	56	NA	NA	NA	NA	3592	0	10	635	625	645	71	100	1	0	53	51	53
229	266.200012207031	266.200012207031	266.200012207031	3661.009	3631.274	3687.613	313232.320222222	298124.796561073	13276	12	NA	NA	NA	NA	4251	0	10	742	732	752	65	101	1	0	29	29	29
232	488.200012207031	488.200012207031	488.200012207031	2876.967	2850.363	2908.266	307696.542000001	270580.997689005	14482	18	NA	NA	NA	NA	1275	0	10	241	231	251	75	112	1	0	64	62	64
237	550.299987792969	550.299987792969	550.299987792969	4047.552	3963.045	4085.111	299135.252589743	260434.609978883	14935	14	NA	NA	NA	NA	5053	0	18	989	971	1007	27	105	1	0	37	36	37
238	289	289	289	2714.212	2689.172	2748.641	296177.529631579	272067.591768264	15140	12	NA	NA	NA	NA	658	0	10	137	127	147	67	105	1	0	48	47	48
239	534.299987792969	534.299987792969	534.299987792969	3856.628	3823.764	3889.492	279403.468190476	256973.777471624	11369	16	NA	NA	NA	NA	4856	0	10	867	857	877	62	104	1	0	47	46	47
240	507.200012207031	507.200012207031	507.200012207031	3020.943	2997.468	3041.287	275162.975464285	256716.194762965	9392	13	NA	NA	NA	NA	1832	0	10	333	323	343	78	106	1	0	61	59	61
241	474.100006103516	474.100006103516	474.100006103516	3069.456	3038.157	3100.755	266367.0096	249480.909691438	9585	12	NA	NA	NA	NA	2064	0	10	364	354	374	66	106	1	0	32	32	32
242	500.200012207031	500.200012207031	500.200012207031	2797.154	2767.42	2826.888	261125.552947368	247165.665042537	12202	28	NA	NA	NA	NA	993	0	10	190	180	200	70	108	1	0	58	56	58
243	450.200012207031	450.200012207031	450.200012207031	3623.45	3595.281	3657.879	260681.54625	232500.330508064	11271	16	NA	NA	NA	NA	4036	0	12	718	706	730	74	114	1	0	39	38	39
246	582.400024414062	582.400024414062	582.400024414062	3819.069	3795.595	3850.368	247400.251342858	227953.821210959	10762	13	NA	NA	NA	NA	4751	0	10	843	833	853	71	106	1	0	41	40	41
248	411.200012207031	411.200012207031	411.200012207031	3931.746	3909.836	3961.48	244240.125696971	234216.366160234	15604	22	NA	NA	NA	NA	4906	0	10	915	905	925	67	100	1	0	49	48	49
249	579.400024414062	579.400024414062	579.400024414062	3491.994	3479.474	3518.598	236426.331999999	234420.331971506	16760	76	NA	NA	NA	NA	3570	0	10	634	624	644	78	103	1	0	53	51	53
250	486.200012207031	486.200012207031	486.200012207031	2797.154	2779.94	2822.194	236196.730074074	225490.668379502	13511	27	NA	NA	NA	NA	961	0	10	190	180	200	75	102	1	0	58	56	58
255	386.200012207031	386.200012207031	386.200012207031	3435.655	3405.921	3466.954	231479.389615386	202746.341618371	9503	12	NA	NA	NA	NA	3315	0	10	598	588	608	68	107	1	0	50	49	50
257	592.100036621094	592.100036621094	592.100036621094	3056.937	3027.202	3096.06	231206.384545454	214443.095241282	8012	16	NA	NA	NA	NA	2078	0	10	356	346	366	69	113	1	0	62	60	62
258	206	206	206	2783.07	2754.901	2812.804	229446.114810812	206155.088610145	10681	15	NA	NA	NA	NA	907	0	10	181	171	191	70	107	1	0	8	8	8
259	396.200012207031	396.200012207031	396.200012207031	3324.544	3296.374	3355.843	227047.947078948	202452.49908796	13651	18	NA	NA	NA	NA	2932	0	10	527	517	537	70	108	1	0	60	58	60
261	312.200012207031	312.200012207031	312.200012207031	3853.498	3823.764	3881.667	223234.844351351	211719.391536616	8805	23	NA	NA	NA	NA	4827	0	10	865	855	875	70	107	1	0	65	46	65
263	306.100006103516	306.100006103516	306.100006103516	2922.351	2895.746	2953.65	220858.375783784	184172.059706022	9988	7	NA	NA	NA	NA	1463	0	12	270	258	282	58	95	1	0	33	33	33
264	427.100006103516	427.100006103516	427.100006103516	3006.858	2975.559	3035.027	215393.095999999	186282.70608868	9004	12	NA	NA	NA	NA	1773	0	10	324	314	334	71	109	1	0	46	45	46
265	330.200012207031	330.200012207031	330.200012207031	3620.32	3601.54	3648.489	214664.9127	209301.11565699	9569	26	NA	NA	NA	NA	4067	0	10	716	706	726	78	108	1	0	16	16	16
266	593.400024414062	593.400024414062	593.400024414062	3697.003	3686.048	3717.347	210828.499050003	209928.248941938	12295	90	NA	NA	NA	NA	4443	0	10	765	755	775	78	98	1	0	66	63	66
267	327.100006103516	327.100006103516	327.100006103516	3493.559	3452.87	3532.682	206331.234352941	174895.457033038	14414	19	NA	NA	NA	NA	3578	0	14	635	621	649	55	106	1	0	53	51	53
269	533.100036621094	533.100036621094	533.100036621094	3346.453	3315.154	3373.057	203575.993378378	194803.249407256	8163	13	NA	NA	NA	NA	3008	0	10	541	531	551	67	104	1	0	4	4	4
271	558.200012207031	558.200012207031	558.200012207031	3703.262	3673.528	3731.431	188314.640513514	175235.125190062	8006	15	NA	NA	NA	NA	4473	0	10	769	759	779	69	106	1	0	14	14	14
273	257.100006103516	257.100006103516	257.100006103516	3643.794	3617.19	3676.658	175864.090421052	161549.082769112	9669	21	NA	NA	NA	NA	4161	0	10	731	721	741	65	103	1	0	15	15	15
274	548.299987792969	548.299987792969	548.299987792969	3502.948	3496.688	3517.033	173092.129999998	173076.479999998	19144	19143	NA	NA	NA	NA	3625	0	10	641	631	651	78	91	1	0	67	64	67
275	351.100006103516	351.100006103516	351.100006103516	3491.994	3463.824	3515.468	172237.43490909	164260.05547364	13633	30	NA	NA	NA	NA	3549	0	10	634	624	644	65	98	1	0	53	51	53
279	347.100006103516	347.100006103516	347.100006103516	3493.559	3477.909	3509.208	170139.79905	157527.245307534	12994	20	NA	NA	NA	NA	3607	0	10	635	625	645	71	91	1	0	53	51	53
280	419.100006103516	419.100006103516	419.100006103516	4121.105	4092.936	4150.839	168538.418594594	151963.218576453	9119	10	NA	NA	NA	NA	5158	0	10	1036	1026	1046	65	102	1	0	68	17	68
284	376.200012207031	376.200012207031	376.200012207031	3706.392	3684.483	3729.867	159529.454896552	150825.390844198	7757	12	NA	NA	NA	NA	4464	0	10	771	761	781	68	97	1	0	14	14	14
286	310.100006103516	310.100006103516	310.100006103516	2923.916	2895.746	2948.955	158107.413558823	140317.552435185	7758	12	NA	NA	NA	NA	1405	0	10	271	261	281	68	102	1	0	33	33	33
296	493.100006103516	493.100006103516	493.100006103516	2878.532	2853.493	2912.961	144400.823578947	138554.407380305	6223	20	NA	NA	NA	NA	1312	0	10	242	232	252	69	107	1	0	64	62	64
297	318	318	318	2784.635	2754.901	2809.674	143999.781942858	138399.305795392	4748	12	NA	NA	NA	NA	937	0	12	182	170	194	73	108	1	0	8	8	8
299	533.200012207031	533.200012207031	533.200012207031	2681.348	2650.049	2709.517	139303.79	129808.76125018	7879	13	NA	NA	NA	NA	587	0	10	116	106	126	59	97	1	0	13	13	13
301	396.200012207031	396.200012207031	396.200012207031	3704.827	3676.658	3729.867	130208.682882354	124382.246899431	5540	19	NA	NA	NA	NA	4486	0	10	770	760	780	69	103	1	0	14	14	14
304	284.200012207031	284.200012207031	284.200012207031	3858.193	3828.459	3887.927	126015.821894737	102397.383799661	7110	13	NA	NA	NA	NA	4836	0	10	868	858	878	70	108	1	0	35	35	35
307	581.100036621094	581.100036621094	581.100036621094	2784.635	2767.42	2803.414	117720.724434783	111807.83634604	6863	15	NA	NA	NA	NA	914	0	10	182	172	192	75	98	1	0	8	8	8
309	574.299987792969	574.299987792969	574.299987792969	4030.338	4002.168	4052.247	116928.205124999	113731.74573416	6690	21	NA	NA	NA	NA	5020	0	10	978	968	988	67	99	1	0	44	43	44
310	311.200012207031	311.200012207031	311.200012207031	3861.323	3831.589	3889.492	116726.188216217	110025.304051833	6794	20	NA	NA	NA	NA	4814	0	10	870	860	880	65	102	1	0	35	35	35
311	306.100006103516	306.100006103516	306.100006103516	3496.688	3471.649	3524.858	116084.82332353	110244.45405408	9604	26	NA	NA	NA	NA	3560	0	10	637	627	647	69	103	1	0	55	53	55
315	359	359	359	3493.559	3476.344	3521.728	112445.902344828	111062.901585262	10586	51	NA	NA	NA	NA	3562	0	10	635	625	645	73	102	1	0	53	51	53
316	573.200012207031	573.200012207031	573.200012207031	3374.622	3348.018	3405.921	112358.424081081	103233.310020733	6037	12	NA	NA	NA	NA	3079	0	10	559	549	569	69	106	1	0	63	61	63
317	385.200012207031	385.200012207031	385.200012207031	4121.105	4094.501	4152.404	110776.26372973	98381.1346059289	5340	12	NA	NA	NA	NA	5155	0	10	1036	1026	1046	72	109	1	0	68	17	68
318	270.200012207031	270.200012207031	270.200012207031	3858.193	3830.024	3883.232	104927.740941177	100846.331477841	7507	25	NA	NA	NA	NA	4808	0	10	868	858	878	68	102	1	0	35	35	35
319	266.100006103516	266.100006103516	266.100006103516	2830.018	2808.109	2861.317	104714.908941177	92234.2350894441	5801	13	NA	NA	NA	NA	1077	0	10	211	201	221	67	101	1	0	54	52	54
324	440.300018310547	440.300018310547	440.300018310547	4049.117	4025.643	4077.286	96827.4951212122	93401.6069750935	5944	27	NA	NA	NA	NA	5058	0	10	990	980	1000	70	103	1	0	37	36	37
326	329.200012207031	329.200012207031	329.200012207031	3858.193	3833.153	3887.927	90186.1734857149	84515.1350688851	5515	24	NA	NA	NA	NA	4820	0	10	868	858	878	70	105	1	0	35	35	35
328	310.200012207031	310.200012207031	310.200012207031	3454.435	3424.701	3481.039	80890.4133888892	70752.5770725809	5043	10	NA	NA	NA	NA	3383	0	10	610	600	620	65	101	1	0	12	12	12
332	560.200012207031	560.200012207031	560.200012207031	3855.063	3828.459	3883.232	75295.6606285716	68258.7941073735	4931	11	NA	NA	NA	NA	4803	0	10	866	856	876	67	102	1	0	65	46	65
335	396.200012207031	396.200012207031	396.200012207031	3855.063	3830.024	3883.232	72556.9327058825	68607.9215535859	5573	26	NA	NA	NA	NA	4802	0	10	866	856	876	69	103	1	0	47	46	47
339	570.900024414062	570.900024414062	570.900024414062	3490.429	3481.039	3495.124	68838.089999998	68297.1573972583	9622	41	NA	NA	NA	NA	3537	0	10	633	623	643	78	87	1	0	53	51	53
345	376.200012207031	376.200012207031	376.200012207031	3612.495	3585.891	3626.58	65969.3886923074	59609.6374131511	5432	12	NA	NA	NA	NA	3984	0	10	711	701	721	66	92	1	0	42	41	42
352	397.200012207031	397.200012207031	397.200012207031	3321.414	3308.894	3346.453	48806.3555416669	43831.3025174733	4210	10	NA	NA	NA	NA	2933	0	10	525	515	535	75	99	1	0	60	58	60
354	585	585	585	3695.438	3686.048	3717.347	46859.2978500007	45443.5861982883	3459	13	NA	NA	NA	NA	4407	0	10	764	754	774	78	98	1	0	66	63	66
363	550.5	550.5	550.5	3501.383	3495.124	3509.208	30807.9675555562	30702.3268371391	3108	30	NA	NA	NA	NA	3618	0	10	640	630	650	78	87	1	0	67	64	67
